Id;Reference;Name;Description;Price tax included;Tax rule id;Cost price;Categories;Images;Tags
4778;PP-RM4778A_5H;Poppies in the moonlight;;202;1;62,28;Painted picture/Flowers,Painted picture/Plants,Painted picture/Painting reproductions;https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4778A_5H.jpg,https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4778A_5H.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4778A_5H.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/frameset/frameset-31.png?size=1600&ratio=11;Flowers,Poppies,Plants,Painting reproductions,Red,Blue,Green,White
4856;PP-RM4856B_1AS;The Blue Lady;;186;1;54,51;Painted picture/Humans,Painted picture/Abstractions,Painted picture/Painting reproductions;https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4856B_1AS.jpg,https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4856B_1AS.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4856B_1AS.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/frameset/frameset-139.png?size=1600&ratio=11;Humans,Abstractions,Painting reproductions,White,Blue,Navy blue,Beige
